,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
279,Thomas Fontaine,1,0.3,28.9,85.6,0.0,3.7,0.1,6.6
280,Rene Krhin,0.0,0.1,33.5,83.2,0.0,1.4,0.0,6.6
281,Fábio,2,0.8,24.0,76.3,0.6,1.1,0.0,6.6
282,Clement Depres,0.0,0.2,9.3,69.6,0.0,0.2,0.0,6.6
283,Andreas Cornelius,1,0.5,11.8,65.7,0.0,0.3,0.1,6.6
284,Younousse Sankharé,3,0.8,28.5,76.4,0.0,0.3,0.0,6.59
285,Nicolas de Preville,2,1.0,18.4,74.5,0.5,1.0,0.0,6.59
286,Toma Basic,0.0,0.9,24.7,82.4,0.5,2.0,0.0,6.59
287,Gabriel Silva,2,0.4,22.6,81.1,0.2,0.9,0.0,6.59
288,Lucas Tousart,0.0,0.3,32.6,87.3,0.0,1.2,0.1,6.59
289,Tristan Dingome,3,1.4,29.3,78.8,0.1,1.4,0.4,6.58
290,Djibril Sidibé,2,1.2,41.6,74.7,0.8,1.2,0.0,6.58
291,Casimir Ninga,3,0.8,14.2,76.4,0.2,0.4,0.1,6.58
292,Stefan Mitrovic,0.0,0.1,40.9,90.5,0.0,2.6,0.0,6.58
293,Edgar Ié,0.0,0.1,34.7,78.5,0.1,1.1,0.0,6.58
294,Jimmy Durmaz,1,1.1,30.4,77.0,0.6,1.5,0.0,6.58
295,Boschilia,4,0.9,16.7,80.7,0.6,0.2,0.0,6.57
296,Moussa Konaté,2,0.4,14.0,67.7,0.0,0.3,0.1,6.57
297,Juan Ferney Otero,2,0.8,19.8,74.9,0.6,0.5,0.0,6.57
298,Prince Oniangué,0.0,0.2,31.6,83.7,0.1,1.3,0.0,6.57
299,Stéphane Bahoken,1,0.7,13.9,73.4,0.1,0.2,0.0,6.57
300,Youssouf Fofana,1,0.4,19.9,77.9,0.1,0.8,0.0,6.57
301,Marc-Aurèle Caillard,0.0,0.0,22.9,50.5,0.0,7.5,0.0,6.57
302,Jordan Marié,1,0.5,32.7,78.9,0.2,2,0.0,6.56
303,Anthony Walongwa,0.0,0.0,37.0,91.9,0.0,0.0,0.0,6.56
304,Till Cissokho,0.0,1,36.0,80.6,0.0,3,0.0,6.56
305,Boulaye Dia,0.0,0.4,8.6,68.4,0.0,0.1,0.0,6.56
306,Gen Shoji,0.0,0.3,40.4,84.9,0.0,4,0.0,6.56
307,Lebogang Phiri,0.0,0.6,41.6,88.7,0.0,2.1,0.0,6.56
308,Igor Lewczuk,0.0,0.0,32.5,86.7,0.2,1.5,0.0,6.55
309,Prince-Désir Gouano,0.0,0.1,35.5,82.1,0.0,2.5,0.0,6.55
310,Bakaye Dibassy,1,0.2,36.1,77.4,0.3,1.4,0.0,6.55
311,Lebo Mothiba,2,0.5,13.3,78.5,0.0,0.3,0.0,6.55
312,Ismael Traoré,1,0.1,36.4,85.5,0.0,2.5,0.0,6.55
313,Jimmy Briand,3,1.0,19.6,73.6,0.1,0.3,0.1,6.55
314,Yannis Salibur,3,0.9,13.1,79.3,0.6,0.3,0.0,6.54
315,Myziane Maolida,3,1.4,24.6,81.7,0.1,0.4,0.0,6.54
316,Kalidou Sidibe,0.0,0.2,29.4,73.5,0.0,1.0,0.0,6.54
317,Emmanuel Imorou,1,0.2,26.0,75.2,0.3,0.8,0.0,6.54
318,Laurent Ciman,0.0,0.3,63.1,87.5,0.0,7.1,0.0,6.54
319,Claudio Beauvue,0.0,0.6,13.4,67.0,0.2,0.4,0.0,6.54
320,Majeed Waris,3,0.8,17.0,75.2,0.2,0.4,0.1,6.54
321,Abdallah Ndour,0.0,0.5,36.3,80.0,0.8,2.5,0.0,6.54
322,Pablo Chavarria,3,0.7,13.0,62.3,0.2,0.1,0.0,6.53
323,Yaya Sanogo,0.0,0.5,12.2,63.7,0.0,0.1,0.0,6.53
324,Tomás Koubek,0.0,0.0,23.3,63.5,0.0,6.0,0.0,6.53
325,Jean Eudes Aholou,1,0.5,31.9,84.9,0.1,1.5,0.0,6.53
326,Rafael,1,0.6,32.7,83.2,0.4,0.6,0.1,6.53
327,Cesc Fàbregas,0.0,1.4,55.3,84.7,0.7,3.2,0.0,6.53
328,Driss Trichard,0.0,0.0,31.0,80.6,0.0,2.0,0.0,6.52
329,Romain Del Castillo,3,0.8,16.7,74.5,0.5,0.2,0.0,6.52
330,Baptiste Guillaume,1,0.4,11.6,62.6,0.0,0.1,0.0,6.52
331,Moustapha Diallo,1,0.3,24.7,67.1,0.0,0.7,0.0,6.51
332,Paul Lasne,0.0,0.7,25.1,81.8,0.3,1.3,0.0,6.51
333,Wesley Saïd,1,0.8,16.1,74.5,0.2,0.4,0.0,6.51
334,Paul Baysse,0.0,0.0,33.0,72.7,0.0,2.0,0.0,6.51
335,Hervé Lybohy,0.0,0.0,33.4,83.6,0.1,1.8,0.0,6.51
336,Gaëtan Paquiez,0.0,0.5,22.5,73.6,0.1,0.9,0.0,6.51
337,Lamine Koné,1,0.2,39.8,84.2,0.1,2.9,0.0,6.51
338,Khaled Adénon,0.0,0.2,42.0,86.2,0.0,3.3,0.0,6.51
339,Enzo Crivelli,1,0.5,16.1,64.8,0.1,0.3,0.0,6.5
340,Mathías Suárez,0.0,0.4,18.5,77.8,0.5,0.5,0.0,6.5
341,Jordan Siebatcheu,1,0.2,6.1,74.7,0.0,0.1,0.0,6.5
342,Jérémy Sorbon,0.0,0.1,31.3,84.2,0.0,2.4,0.0,6.5
343,Danijel Subasic,0.0,0.0,18.7,61.5,0.0,4.8,0.0,6.5
344,Jaroslav Plasil,1,0.5,37.4,85.1,0.3,1.2,0.0,6.5
345,Colin Dagba,2,0.8,33.8,93.0,0.3,0.2,0.1,6.5
346,Timothy Weah,0.0,0.5,3.5,57.1,0.0,0.5,0.0,6.5
