,Player,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
98,Dante,1.1,1.1,0.7,2.2,0.4,0.0,2.0,1.0,0.8,0.2,0.1,0.4,0.0,0.1,0.2,1.0,0.2,77.1,90.3,0.0,4.4,0.0
99,Layvin Kurzawa,1.4,1.5,1.7,1.1,0.3,0.0,1.0,1.0,0.6,0.5,0.7,0.4,0.1,0.7,1.3,1.0,0.5,43.4,87.6,0.4,0.4,0.0
100,Boulaye Dia,0.6,0.3,0.9,1.0,0.1,0.0,14.0,1.0,1.8,0.8,1.3,1.0,0.4,1.5,2.4,1.0,0.8,16.8,80.5,0.1,0.7,0.0
101,Yvan Neyou,1.9,1.0,1.5,0.4,0.2,0.0,1.0,2.0,0.9,0.5,2.0,1.5,0.0,0.5,0.9,2.0,0.5,41.5,86.6,0.1,1.7,0.0
102,Sébastien Corchia,2.2,1.5,0.8,1.4,0.4,0.0,0.0,1.0,0.8,1.1,0.7,1.7,0.0,0.6,1.0,1.0,1.1,24.9,72.1,1.3,0.8,0.0
103,Jean-Clair Todibo,1.7,1.3,1.1,3.1,0.5,0.0,1.0,0.0,0.5,0.2,1.1,0.9,0.0,0.3,0.9,0.0,0.2,74.9,87.7,0.1,4.3,0.0
104,Ander Herrera,1.7,1.0,1.0,0.6,0.2,0.0,1.0,3.0,0.7,0.8,0.4,0.5,0.0,0.3,0.8,3.0,0.8,55.4,91.1,0.1,1.4,0.2
105,Jean Eudes Aholou,1.7,2.0,1.9,1.1,0.2,0.0,2.0,2.0,1.1,0.3,1.0,1.2,0.0,0.7,1.5,2.0,0.3,31.1,83.1,0.0,1.3,0.0
106,Ibrahima Niane,0.1,0.0,1.1,0.8,0.0,0.0,6.0,0.0,2.3,0.3,0.6,1.2,0.3,0.9,3.7,0.0,0.3,14.5,73.1,0.0,0.4,0.0
107,Pape Sarr,2.0,1.2,1.1,0.7,0.2,0.0,3.0,0.0,1.4,0.7,0.8,1.1,0.0,0.4,1.7,0.0,0.7,42.3,85.3,0.0,2.8,0.0
108,Mike Maignan,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,22.9,67.3,0.0,4.3,0.0
109,Denis Bouanga,1.4,0.6,1.7,0.9,0.1,1.0,7.0,4.0,2.8,0.7,1.6,1.0,0.3,1.5,3.4,4.0,0.7,19.6,67.3,0.3,0.8,0.0
110,Trevoh Chalobah,1.6,2.4,0.7,1.9,0.2,0.0,2.0,2.0,0.5,0.3,1.3,0.9,0.0,0.3,0.9,2.0,0.3,41.1,84.8,0.0,2.0,0.1
111,Youssouf Fofana,2.6,1.0,1.3,0.4,0.2,0.0,0.0,3.0,1.0,0.8,0.9,0.9,0.0,0.7,1.3,3.0,0.8,47.4,85.5,0.4,2.8,0.0
112,Bruno Guimarães,2.3,0.4,1.0,0.4,0.1,0.0,3.0,1.0,0.8,0.5,0.8,1.1,0.0,0.5,0.8,1.0,0.5,43.3,90.5,0.1,2.3,0.1
113,Jonathan Gradit,1.8,1.7,1.5,2.4,0.6,0.0,0.0,1.0,0.1,0.2,1.0,1.9,0.0,0.4,0.8,1.0,0.2,52.1,86.9,0.1,3.9,0.0
114,Eduardo Camavinga,2.8,0.7,1.6,0.4,0.1,0.0,1.0,2.0,0.7,0.6,1.2,1.5,0.0,0.7,1.8,2.0,0.6,45.5,89.0,0.0,1.7,0.0
115,Harold Moukoudi,1.8,1.6,0.9,2.9,0.4,0.0,3.0,1.0,0.5,0.2,0.4,0.5,0.0,0.4,0.3,1.0,0.2,44.6,88.5,0.0,2.3,0.0
116,Julien Laporte,2.2,2.2,1.0,4.2,0.8,0.0,0.0,0.0,0.3,0.2,0.2,0.6,0.0,0.1,0.1,0.0,0.2,50.0,82.5,0.0,4.1,0.0
117,Pierre Lees-Melou,2.3,1.0,1.2,0.9,0.5,0.0,4.0,2.0,1.5,0.4,0.8,0.8,0.0,0.7,0.9,2.0,0.4,40.4,86.3,0.1,2.4,0.0
118,Birger Meling,1.9,1.4,0.6,2.1,0.3,0.0,2.0,3.0,0.5,0.7,0.6,1.5,0.0,0.4,1.2,3.0,0.7,38.5,79.8,0.3,2.2,0.0
119,Guillermo Maripán,0.9,1.0,0.7,2.4,0.4,0.0,5.0,1.0,0.5,0.1,0.1,0.3,0.0,0.0,0.3,1.0,0.1,59.4,90.0,0.0,3.3,0.0
120,Benoit Badiashile,0.7,1.7,0.9,2.8,0.3,0.0,2.0,1.0,0.7,0.2,0.1,0.4,0.1,0.1,0.4,1.0,0.2,69.7,86.9,0.0,5.1,0.0
121,Yacine Adli,2.1,1.1,1.1,0.5,0.1,0.0,2.0,5.0,0.7,1.5,1.4,1.1,0.0,1.2,1.2,5.0,1.5,44.7,83.7,0.3,3.3,0.1
122,Romain Thomas,1.4,1.5,1.0,3.8,0.6,0.0,4.0,0.0,0.4,0.1,0.1,0.6,0.1,0.1,0.4,0.0,0.1,49.2,84.6,0.0,4.9,0.0
123,Alexis Claude Maurice,1.3,0.5,0.8,0.1,0.1,0.0,4.0,5.0,1.1,1.2,1.6,1.8,0.0,1.4,2.1,5.0,1.2,23.0,84.5,0.6,0.5,0.0
124,Otávio,3.0,1.4,1.6,1.8,0.3,0.0,1.0,0.0,0.3,0.1,0.3,0.6,0.0,0.4,0.3,0.0,0.1,51.9,89.8,0.1,3.0,0.0
125,Caio Henrique,1.6,0.5,0.3,0.9,0.1,0.0,0.0,4.0,0.2,0.8,0.5,0.4,0.1,0.2,1.2,4.0,0.8,36.9,84.3,0.5,1.1,0.0
126,Kenny Lala,1.0,1.1,0.9,1.3,0.3,0.0,3.0,3.0,0.5,1.3,0.8,0.7,0.0,1.0,1.8,3.0,1.3,39.0,74.1,1.0,3.7,0.0
127,Renato Sanches,0.6,0.6,1.2,0.3,0.1,0.0,1.0,3.0,0.9,0.8,1.7,1.2,0.1,0.9,1.5,3.0,0.8,40.7,85.8,0.5,3.5,0.1
128,Pablo,1.3,1.9,1.5,3.2,0.9,1.0,1.0,0.0,0.7,0.1,0.0,0.4,0.0,0.2,0.5,0.0,0.1,53.8,89.1,0.0,2.9,0.0
