,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
83,Nicolas Nkoulou,1.3,1.9,1.0,0.4,4.7,0.3,0.8,0.0,2.0,0.0,0.2,0.1,0.2,0.8,0.0,0.3,0.2,0.0,0.1,39.2,89.8,0.0,2.9,0.0
84,Cristián Zapata,1.8,0.6,0.6,0.7,4.3,0.2,1.2,0.0,0.0,0.0,0.2,0.3,0.2,0.6,0.0,0.2,0.2,0.0,0.3,49.0,92.0,0.0,1.6,0.0
85,Kwadwo Asamoah,1.4,1.3,0.8,0.3,1.2,0.7,0.1,0.0,0.0,1.0,0.3,1.0,1.3,2.2,0.0,0.7,1.1,1.0,1.0,60.5,89.0,0.6,3.5,0.0
86,Samir,2.2,1.6,1.9,0.1,3.9,0.3,0.4,0.0,2.0,0.0,0.4,0.4,0.4,1.2,0.1,0.2,0.8,0.0,0.4,33.9,81.6,0.2,1.4,0.0
87,Manuel Lazzari ,0.9,0.6,0.8,0.2,1.2,0.3,0.2,0.0,0.0,8.0,1.0,1.7,2.0,1.8,0.0,1.3,1.8,8.0,1.7,31.1,82.1,2.0,0.6,0.0
88,Nicola Murru,2.4,1.2,1.0,0.5,2.1,0.4,0.6,0.0,0.0,5.0,0.5,0.9,0.5,0.9,0.0,0.7,0.6,5.0,0.9,46.1,78.4,0.8,2.1,0.0
89,Federico Santander,0.6,0.3,1.6,0.0,0.9,0.7,0.1,0.0,8.0,3.0,2.4,1.2,0.1,1.2,0.5,0.8,1.4,3.0,1.2,16.7,60.8,0.1,0.2,0.0
90,Rodrigo Palacio,0.9,0.2,0.8,0.0,0.5,1.1,0.0,0.0,3.0,6.0,1.6,1.4,1.8,2.3,0.9,2.0,2.6,6.0,1.4,25.2,77.3,0.4,0.5,0.0
91,Matteo Politano,0.5,0.4,0.4,0.0,0.2,0.6,0.0,0.0,5.0,6.0,2.2,1.8,1.3,1.2,0.1,0.9,1.4,6.0,1.8,33.8,80.1,1.6,1.6,0.0
92,Cristiano Biraghi,1.4,1.2,1.0,0.2,2.5,0.6,0.5,0.0,1.0,4.0,0.9,1.7,0.4,0.7,0.1,0.3,1.1,4.0,1.7,37.3,75.9,1.7,1.8,0.0
93,Rade Krunic,1.2,0.6,1.4,0.0,0.9,0.8,0.4,0.0,5.0,7.0,1.6,1.6,1.4,2.3,0.0,1.1,2.2,7.0,1.6,39.4,80.8,0.1,1.3,0.2
94,Hans Hateboer,1.3,0.7,0.9,0.2,1.1,0.5,0.1,0.0,5.0,5.0,0.8,1.4,0.4,0.4,0.1,0.9,1.0,5.0,1.4,45.1,84.5,0.5,0.9,0.0
95,Stefano Sensi,1.3,1.2,0.9,0.0,0.5,0.9,0.3,0.0,2.0,4.0,1.3,1.9,0.7,2.4,0.0,1.0,1.2,4.0,1.9,48.1,89.5,1.1,2.6,0.1
96,Cédric Soares,2.0,0.5,0.5,0.0,0.5,0.8,0.3,0.0,0.0,1.0,1.0,1.5,0.0,1.0,0.0,0.3,1.3,1.0,1.5,39.0,80.1,2.0,1.3,0.0
97,Faouzi Ghoulam,0.6,0.5,0.8,0.1,0.8,0.1,0.1,0.0,1.0,3.0,0.6,1.6,0.1,1.1,0.2,0.2,0.6,3.0,1.6,49.6,89.3,1.4,1.4,0.1
98,Milan Skriniar,1.8,0.8,1.2,0.5,3.8,0.6,0.8,1.0,0.0,1.0,0.4,0.2,0.2,0.8,0.0,0.2,0.5,1.0,0.2,68.6,92.6,0.0,3.6,0.0
99,Alessandro Florenzi,1.3,1.6,0.5,0.5,1.8,0.7,0.2,0.0,3.0,2.0,1.2,1.4,0.3,0.8,0.1,0.3,0.6,2.0,1.4,39.5,78.2,1.4,2.7,0.1
100,Danilo D'Ambrosio,2.3,0.9,1.6,0.3,1.0,1.1,0.3,0.0,2.0,5.0,0.5,1.1,0.4,1.2,0.3,0.6,0.9,5.0,1.1,54.5,84.6,0.7,3.0,0.1
101,Diego Perotti,1.1,0.3,0.4,0.0,0.1,1.0,0.0,0.0,5.0,0.0,1.2,1.4,1.4,1.2,0.1,0.7,0.9,0.0,1.4,22.9,81.5,0.6,0.5,0.0
102,Radja Nainggolan,1.2,0.3,1.1,0.0,0.2,0.5,0.1,0.0,6.0,3.0,2.4,1.4,0.9,0.9,0.1,1.6,1.9,3.0,1.4,33.1,84.3,0.3,1.8,0.1
103,Kostas Manolas,1.2,1.9,1.1,1.2,4.3,0.3,0.9,0.0,1.0,1.0,0.5,0.1,0.1,0.7,0.0,0.0,0.3,1.0,0.1,38.4,87.9,0.0,2.7,0.0
104,Mattia De Sciglio,1.8,1.2,0.7,0.0,2.0,0.5,0.3,0.0,0.0,1.0,0.3,0.6,0.4,0.6,0.1,0.5,0.6,1.0,0.6,45.9,82.8,0.5,3.0,0.0
105,Pietro Terracciano,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,25.4,76.8,0.0,4.5,0.0
106,Soualiho Meité,1.3,0.8,1.7,0.0,0.6,0.7,0.2,0.0,2.0,4.0,0.9,0.9,1.5,1.5,0.0,1.3,1.9,4.0,0.9,32.8,82.2,0.2,1.6,0.1
107,Juan Musso,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,26.4,56.1,0.0,9.2,0.0
108,Lucas Biglia,3.8,1.4,1.3,0.1,1.3,1.6,0.2,0.0,1.0,0.0,0.4,0.8,0.2,1.0,0.0,0.8,0.6,0.0,0.8,51.9,90.4,0.1,3.6,0.0
109,Gervinho ,0.6,0.3,0.4,0.0,0.0,0.3,0.0,0.0,11.0,2.0,1.5,0.7,2.1,1.1,0.5,1.9,2.5,2.0,0.7,17.0,82.1,0.0,0.2,0.1
110,Daniele Baselli,1.9,1.0,1.4,0.0,0.8,0.8,0.2,0.0,4.0,1.0,1.2,1.3,0.7,1.0,0.0,1.0,1.5,1.0,1.3,34.1,80.2,0.7,1.4,0.1
111,Ola Aina,1.8,1.3,1.0,0.1,1.2,0.8,0.1,0.0,1.0,3.0,0.8,0.8,1.0,1.3,0.1,0.8,1.2,3.0,0.8,29.2,78.2,0.5,1.4,0.0
112,Koffi Djidji,2.2,1.4,0.8,0.7,3.6,0.5,1.1,0.0,0.0,0.0,0.1,0.0,0.9,0.2,0.0,0.4,0.6,0.0,0.0,34.8,82.9,0.0,2.5,0.0
113,Luis Muriel,1.0,0.2,1.1,0.0,0.1,0.6,0.0,0.0,6.0,0.0,2.4,1.0,1.6,0.8,0.2,1.6,2.6,0.0,1.0,19.1,62.4,0.3,0.4,0.1
114,Riccardo Orsolini,1.1,0.4,0.7,0.0,0.5,0.9,0.1,0.0,8.0,5.0,1.9,0.6,0.9,1.5,0.4,0.7,1.7,5.0,0.6,17.9,69.4,0.7,0.8,0.0
115,Nikola Maksimovic,1.2,1.6,0.6,0.4,3.1,0.4,0.5,0.0,0.0,0.0,0.1,0.2,0.2,1.0,0.1,0.1,0.4,0.0,0.2,50.4,92.9,0.0,2.7,0.0
116,Vitor Hugo,2.1,2.5,1.4,0.6,4.5,0.3,0.4,0.0,0.0,2.0,0.5,0.3,0.1,0.6,0.0,0.1,0.4,2.0,0.3,43.2,87.0,0.0,2.4,0.0
117,Ali Adnan,0.3,1.0,0.7,0.0,2.0,0.3,0.3,0.0,0.0,0.0,1.0,1.0,1.7,0.7,0.0,0.3,0.0,0.0,1.0,28.3,70.6,1.0,1.3,0.0
118,Silvio Proto,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,29.5,67.8,0.0,9.5,0.0
119,Gianluca Mancini,1.4,1.6,1.2,0.3,2.3,0.4,0.1,0.0,5.0,2.0,1.3,0.4,0.4,0.5,0.1,0.3,0.4,2.0,0.4,44.0,82.8,0.1,1.8,0.0
120,Riccardo Gagliolo ,2.0,1.9,0.9,0.2,5.7,1.0,1.0,2.0,0.0,2.0,0.6,0.5,0.1,1.2,0.0,0.2,0.7,2.0,0.5,35.3,76.1,0.1,2.3,0.0
121,Ignacio Pussetto,1.9,0.8,1.5,0.0,0.9,0.8,0.1,0.0,4.0,4.0,1.6,0.6,1.3,1.6,0.6,1.3,2.5,4.0,0.6,18.5,69.3,0.1,0.2,0.0
122,Alessio gnoli,1.1,1.2,0.6,0.6,5.2,0.1,1.0,1.0,2.0,0.0,0.3,0.2,0.0,0.4,0.1,0.1,0.4,0.0,0.2,55.2,91.2,0.0,2.8,0.0
123,Luigi Sepe ,0.0,0.1,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,29.1,59.3,0.0,9.5,0.0
124,Juan Cuadrado,1.1,1.0,0.8,0.1,0.6,1.0,0.2,0.0,1.0,2.0,0.9,1.7,1.1,2.2,0.1,0.8,1.2,2.0,1.7,41.2,88.1,0.7,2.9,0.0
