,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
405,Nassim Boujellab,21,Forward,Schalke 04,414,160,254,Germany,11,5,6,0,0,0,0,0,0,0,0,1,1,0,9,1,8,2,0,0,0,0,0,0,0,1.96,46,38,207,0,0.43,281,257,-1,19,1.1,0.6,1,0.4,0.8,0.1,0,0,0,0.5,0.4,0,0.4,0.1,0.5,1.2,0,0.4,12.5,77.4,0,0.4,0
406,Neven Subotić,32,Defender,Union Berlin,1972,975,997,Serbia,23,11,12,1,1,0,0,0,0,0,0,4,3,1,37,13,24,3,1,0.05,0,0.05,0.09,0,1972,1.69,53,86,657,0,0.14,205,362,94,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,Nick Woltemade,19,Forward,Werder Bremen,89,31,58,Germany,5,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.01,89,18,0,0,0,-1,-1,-1,14,0.4,0,0.4,0.4,0.2,0,0,0,0,0.2,0.4,0.4,0.4,0,0.4,1.8,0,0.4,4,80,0,0.2,0
408,Niclas Füllkrug,28,Forward,Werder Bremen,401,164,237,Germany,8,4,4,4,1,3,1,1,0,0,0,0,0,0,7,2,5,2,0,1.12,0.22,0.9,0.55,1.14,100,1.57,57,50,201,401,0.45,6,56,-1,6,0.3,0.4,1.3,0.8,0.3,0,0,4,1,2.1,0.4,0.5,1.3,0.4,0.6,0.9,1,0.4,14.8,66.1,0,0.4,0.1
409,Niclas Thiede,22,Goalkeeper,Freiburg,67,0,67,Germany,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.34,67,67,0,0,0,-1,-1,-1,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,70,0,3,0
410,Nico Elvedi,24,Defender,Borussia M'gladbach,2621,1418,1203,Switzerland,32,17,15,1,1,0,0,0,0,0,0,7,3,4,29,16,13,5,0,0.03,0,0.03,0.06,0,2621,1,90,82,524,0,0.17,230,385,22,13,1.4,1.9,0.7,3.3,0.6,0.5,0,1,0,0.3,0,0.3,0.6,0,0.1,0.4,0,0,54.3,92,0,1.7,0
411,Nico Schlotterbeck,21,Defender,Freiburg,365,215,150,Germany,13,8,5,0,0,0,0,0,0,0,0,3,3,0,5,1,4,0,0,0,0,0,0,0,0,1.23,73,28,0,0,0,331,342,46,24,0.5,0.2,0.5,1.5,0.2,0.4,0,0,0,0.2,0.2,0.2,0.8,0,0.2,0.2,0,0.2,15.5,77.2,0,1.2,0
412,Nico Schulz,28,Midfielder,Borussia Dortmund,592,260,332,Germany,11,6,5,1,0,1,0,0,0,0,0,3,1,2,11,4,7,0,0,0.15,0,0.15,0,0.27,592,1.67,54,54,0,0,0,135,307,-1,13,1,0.8,1.1,0.8,0.5,0.4,0,1,0,0.5,0.3,0.8,0.3,0.4,0.6,0.5,0,0.3,35.6,86.5,0.2,0.6,0
413,Nicolai Rapp,24,Defender,Union Berlin,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,Nicolas Höfler,31,Midfielder,Freiburg,2785,1435,1350,Germany,32,17,15,1,1,0,0,0,0,0,0,7,6,1,37,12,25,9,0,0.03,0,0.03,0.06,0,2785,1.2,75,87,309,0,0.29,237,343,-1,11,2,2.2,1.6,1.6,1.3,0.6,0,1,0,0.8,0.5,1.1,1,0,0.5,1.2,0,0.5,47,84.6,0,2,0
415,Niklas Hauptmann,24,Midfielder,Köln,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,Niklas Klinger,25,Goalkeeper,Wolfsburg,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,Niklas Lomb,27,Goalkeeper,Bayer Leverkusen,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,Niklas Moisander,35,Defender,Werder Bremen,1980,1080,900,Finland,22,12,10,0,0,0,0,0,0,0,0,4,1,3,38,23,15,5,1,0,0,0,0,0,0,1.73,52,90,396,0,0.23,329,331,100,29,1.2,2.2,1.4,3.7,0.7,0.9,0,0,0,0.6,0.2,0.7,0.6,0,0.3,0.5,0,0.2,71,86.7,0,4.7,0
419,Niklas Stark,26,Defender,Hertha BSC,1735,776,959,Germany,21,10,11,1,1,0,0,0,0,0,0,2,1,1,39,20,19,8,0,0.05,0,0.05,0.12,0,1735,2.02,44,83,217,0,0.41,206,327,133,12,1.7,1,1.2,4.5,0.6,0.6,1,1,0,0.5,0.2,0.1,0.4,0,0.3,0.2,0,0.2,42,82.4,0,3.1,0
420,Niklas Süle,25,Defender,Bayern München,642,360,282,Germany,8,4,4,0,0,0,1,0,1,0,0,2,1,1,9,5,4,1,0,0.14,0.14,0,0,0,0,1.26,71,80,642,642,0.14,320,114,49,29,1.3,1,0.8,2.6,0.1,0.8,0,0,1,0.8,0.3,0.3,0.5,0,0,0.3,1,0.3,76.9,91.7,0,6.1,0.1
421,Niko Gießelmann,29,Defender,Fortuna Düsseldorf,2056,934,1122,Germany,25,12,13,1,1,0,1,1,0,0,0,4,3,1,44,14,30,6,0,0.09,0.04,0.04,0.1,0,2056,1.93,47,82,343,2056,0.26,215,231,123,10,1.8,1.1,1,1.6,0.9,0.2,0,1,1,0.6,1,0.3,1.6,0,0.2,0.9,1,1,35.8,77.7,0.9,3,0
422,Nils Petersen,32,Forward,Freiburg,2428,1194,1234,Germany,34,17,17,11,4,7,2,1,1,1,0,7,6,1,32,10,22,1,0,0.48,0.07,0.41,0.3,0.51,221,1.19,76,71,2428,1214,0.04,38,208,-1,1,0.6,0.3,0.3,1.9,0.5,0.2,0,11,2,1.6,1,0.2,0.5,0.4,0.6,1.4,2,1,15.3,62.5,0.1,0.5,0
