,Player,age,position,Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
177,Domenico Criscito,34,Defender,Genoa,2055,900,1155,Italy,26,12,14,8,3,5,0,0,0,8,2,5,3,2,40,13,27,7,0,0.35,0,0.35,0.3,0.39,257,1.75,51,79,294,0,0.31,54,449,154,2,2,2,1.2,2.5,0.5,0,8,0,0.9,0.8,0.3,1.6,0,0.3,0.5,0,0.8,40.3,79.6,0.5,3.2,0
178,Douglas Costa,30,Midfielder,Juventus,792,464,328,Brazil,23,12,11,1,0,1,4,4,0,0,0,8,5,3,7,4,3,1,0,0.57,0.45,0.11,0,0.27,792,0.8,113,34,792,198,0.11,172,7,-1,13,0.1,0.2,0.4,0.2,0,0,1,4,0.8,1.3,1.9,0.4,0.1,0.7,1.1,4,1.3,18.7,83.8,0.3,1.2,0
179,Dries Mertens,33,Forward,Napoli,1686,816,870,Belgium,31,16,15,9,5,4,7,6,1,0,0,7,4,3,27,11,16,5,0,0.85,0.37,0.48,0.55,0.41,187,1.44,62,54,337,241,0.27,29,10,-1,2,0.4,0.2,0.9,0.1,0,0,9,7,2.5,1.7,0.7,0.8,0.2,0.6,0.8,7,1.7,20.3,81.9,0.7,0.8,0.1
180,Drissa Camara,19,Midfielder,Parma,0,0,0,Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Dušan Vlahović,21,Forward,Fiorentina,1488,699,789,Serbia,30,14,16,6,1,5,0,0,0,1,0,7,4,3,27,12,15,5,1,0.36,0,0.36,0.13,0.57,248,1.63,55,50,248,0,0.36,50,374,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Duván Zapata,30,Forward,Atalanta,2037,986,1051,Colombia,28,14,14,18,6,12,6,5,1,1,0,7,4,3,28,15,13,1,0,1.06,0.27,0.8,0.55,1.03,113,1.24,73,73,2037,340,0.04,7,35,-1,1,0.3,0.1,1.3,0.3,0.3,0,18,6,3.2,1.4,0.8,1.6,0.4,2.2,3.4,6,1.4,19.6,79.6,0.3,0.4,0
183,Ebrima Colley,21,Midfielder,Atalanta,77,70,7,Gambia,5,3,2,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1.17,1.17,0,0,0,0,1.17,77,15,77,77,1.17,-1,-1,-1,15,0.4,0.2,0.6,0,0,0,0,1,1,0.4,0.4,0.8,0,0.8,0.8,1,0.4,9.2,84.8,0,0,0
184,Ebrima Darboe,19,Midfielder,Roma,0,0,0,Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Eddy Anthony Salcedo Mora,19,Forward,Hellas Verona,677,373,304,Italy,17,9,8,1,1,0,0,0,0,0,0,4,3,1,5,2,3,0,0,0.13,0,0.13,0.24,0,677,0.66,135,40,0,0,0,149,311,-1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Édgar Barreto,36,Midfielder,Sampdoria,90,46,44,Paraguay,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,45,45,0,0,0,-1,-1,-1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Edgaras Dubickas,22,Midfielder,Lecce,2,2,0,Lithuania,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,-1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,0,0,0
188,Edin Džeko,35,Forward,Roma,2854,1628,1226,Bosnia and Herzegovina,35,19,16,16,9,7,7,4,3,0,0,7,2,5,41,25,16,4,0,0.73,0.22,0.5,0.5,0.51,178,1.29,70,82,714,408,0.13,25,53,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Edoardo Corvi,20,Goalkeeper,Parma,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Edoardo Goldaniga,27,Defender,Genoa,780,386,394,Italy,13,6,7,1,1,0,0,0,0,0,0,3,2,1,20,7,13,4,0,0.12,0,0.12,0.23,0,780,2.31,39,60,195,0,0.46,168,419,185,10,0.3,1.4,1.1,1.9,0.5,0,1,0,0.5,0.4,0.1,1.6,0,0.4,0.4,0,0.4,30.5,77.1,0.5,2.7,0
191,Edoardo Vergani,20,Forward,Inter Milan,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
