,Player,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
81,Bremer,1.5,2.1,0.9,4.1,0.6,0.0,5.0,0.0,0.8,0.2,0.2,0.5,0.0,0.2,0.7,0.0,0.2,50.2,82.7,0.0,3.5,0.0
82,Ibañez,2.0,2.3,1.8,2.6,0.6,1.0,0.0,1.0,0.5,0.4,0.5,1.0,0.0,0.3,0.8,1.0,0.4,56.6,86.9,0.0,3.2,0.0
83,Alessandro Bastoni,1.1,1.2,1.2,2.2,0.5,0.0,0.0,3.0,0.3,0.4,0.4,0.8,0.0,0.2,0.6,3.0,0.4,68.0,90.5,0.1,4.6,0.0
84,Francesco Acerbi,1.6,2.4,1.0,3.6,0.5,0.0,0.0,1.0,0.3,0.3,0.2,0.8,0.1,0.3,0.7,1.0,0.3,63.7,89.4,0.3,5.3,0.0
85,Antonio Sanabria,0.6,0.4,1.2,0.6,0.0,0.0,5.0,1.0,1.4,0.5,0.8,0.9,0.2,1.4,2.1,1.0,0.5,18.4,75.1,0.1,0.7,0.0
86,Matteo Politano,0.6,0.4,0.4,0.5,0.0,0.0,9.0,4.0,1.7,0.9,1.0,1.3,0.0,0.6,1.2,4.0,0.9,20.5,81.7,0.5,0.9,0.1
87,Jeremie Boga,0.4,0.3,0.3,0.2,0.0,0.0,4.0,2.0,1.2,0.4,3.2,1.3,0.3,1.1,2.1,2.0,0.4,27.5,89.4,0.1,0.6,0.0
88,Hans Hateboer,1.3,0.8,0.9,0.4,0.0,0.0,2.0,1.0,1.2,0.9,0.2,0.4,0.1,0.5,1.3,1.0,0.9,38.7,87.1,0.5,0.8,0.0
89,Kevin Strootman,1.7,1.4,1.4,0.8,0.2,0.0,0.0,4.0,0.3,1.3,0.5,0.7,0.1,0.6,0.9,4.0,1.3,44.0,84.1,0.4,1.7,0.1
90,Wilfried Stephane Singo,1.0,1.0,1.0,1.3,0.1,0.0,1.0,2.0,0.4,0.9,1.9,1.8,0.1,0.5,1.5,2.0,0.9,25.5,79.9,0.6,0.9,0.0
91,Pietro Terracciano,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,50.0,0.0,7.5,0.0
92,Simone Edera,1.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.5,1.5,1.0,0.5,0.0,0.0,1.0,0.0,1.5,8.5,82.4,1.5,0.5,0.0
93,Gian Marco Ferrari,0.9,1.5,1.2,2.8,1.1,0.0,0.0,4.0,0.7,0.4,0.2,1.1,0.0,0.2,0.5,4.0,0.4,79.6,91.7,0.0,3.4,0.0
94,Ionut Radu,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,95.5,0.0,0.5,0.0
95,Alberto Paleari,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,22.3,62.7,0.0,3.0,0.0
96,Musa Barrow,0.7,0.3,0.4,0.3,0.1,0.0,8.0,8.0,2.3,1.6,0.9,0.8,0.3,1.4,2.7,8.0,1.6,26.4,77.1,0.9,1.4,0.0
97,Matthijs de Ligt,1.4,1.1,1.5,2.4,0.8,0.0,1.0,1.0,0.7,0.3,0.2,0.9,0.1,0.1,0.4,1.0,0.3,63.9,92.5,0.1,2.6,0.0
98,Nehuén Paz,1.5,1.8,0.5,2.7,0.3,0.0,1.0,0.0,0.3,0.2,0.0,0.3,0.0,0.0,0.3,0.0,0.2,39.0,83.3,0.0,1.2,0.0
99,Koray Günter,0.7,2.6,1.1,3.1,0.9,0.0,0.0,2.0,0.2,0.2,0.3,0.4,0.0,0.0,0.2,2.0,0.2,42.1,88.2,0.0,2.9,0.0
100,Franck Ribéry,0.8,0.1,1.2,0.0,0.1,0.0,2.0,6.0,0.7,1.2,2.2,2.5,0.2,2.9,2.5,6.0,1.2,29.3,89.2,0.1,1.5,0.2
