,Player,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
2636,Uros Racic,1.2,0.8,1.4,1.7,0.4,0.0,1.0,1.0,1.1,0.3,0.8,0.8,0.0,0.5,0.9,1.0,0.3,33.8,79.5,0.0,3.4,0.0
2637,Valentin Antov,0.8,0.8,0.4,2.2,1.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.0,0.0,0.4,0.0,0.2,23.0,89.6,0.0,1.8,0.0
2638,Valentin Eysseric,0.9,0.4,0.8,0.4,0.0,0.0,2.0,0.0,0.8,0.5,0.2,0.7,0.0,0.4,0.7,0.0,0.5,20.0,77.8,0.4,1.6,0.0
2639,Valentin Mihaila ,0.1,0.3,0.3,0.4,0.1,0.0,3.0,0.0,1.2,0.4,0.9,0.5,0.3,0.4,1.3,0.0,0.4,10.8,68.8,0.1,0.3,0.0
2640,Valentin Rongier,3.6,1.1,1.7,0.8,0.1,0.0,1.0,2.0,0.7,0.5,1.0,0.9,0.0,0.3,1.3,2.0,0.5,52.7,86.3,0.1,1.7,0.0
2641,Valentino Lazaro,0.8,0.7,0.3,0.7,0.0,0.0,2.0,0.0,0.7,0.8,0.6,0.6,0.1,0.4,0.7,0.0,0.8,22.0,79.3,0.5,0.8,0.0
2642,Valerio Verre,0.4,0.3,0.9,0.1,0.1,0.0,3.0,3.0,0.9,0.7,0.7,0.8,0.0,0.9,1.6,3.0,0.7,18.7,72.0,0.2,0.9,0.0
2643,Valon Behrami,0.8,0.3,1.1,0.3,0.2,0.0,0.0,0.0,0.2,0.1,0.0,0.8,0.0,0.1,0.3,0.0,0.1,8.2,75.5,0.0,0.3,0.0
2644,Valon Berisha,1.7,1.0,0.6,0.8,0.1,0.0,0.0,3.0,0.9,1.0,0.4,0.7,0.0,0.5,1.1,3.0,1.0,39.3,85.2,0.7,4.1,0.0
2645,Valère Germain,0.3,0.5,0.4,0.8,0.1,0.0,3.0,0.0,0.4,0.1,0.0,0.8,0.1,0.3,0.5,0.0,0.1,11.3,69.4,0.0,0.2,0.0
2646,Vanja Milinkovic-Savic,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,26.3,62.7,0.0,3.7,0.0
2647,Vasco Regini,0.7,0.3,0.3,1.0,0.3,1.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,10.3,90.3,0.3,0.7,0.0
2648,Vasilios Zagaritis ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.5,19.0,94.7,0.0,0.5,0.0
2649,Vasilis Pavlidis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
2650,Vedad Ibisevic,0.0,0.3,0.8,0.3,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.8,0.5,1.3,0.0,0.5,8.0,71.9,0.0,0.3,0.0
2651,Vedat Muriqi,0.1,0.1,0.5,0.7,0.1,0.0,1.0,0.0,1.1,0.4,0.1,0.7,0.6,0.6,1.2,0.0,0.4,9.2,69.0,0.0,0.2,0.0
2652,Vicente Esquerdo,1.8,2.0,0.8,0.3,0.5,0.0,0.0,0.0,0.3,0.5,0.5,0.0,0.0,0.3,1.0,0.0,0.5,23.5,84.0,0.3,1.3,0.0
2653,Vicente Guaita,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,24.9,49.6,0.0,6.8,0.0
2654,Vicente Iborra,1.4,1.1,1.2,1.8,0.5,0.0,0.0,0.0,0.2,0.2,0.3,0.6,0.0,0.3,0.3,0.0,0.2,46.0,90.1,0.0,2.8,0.0
2655,Victor Chust,0.5,0.5,0.5,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,37.5,89.3,0.0,2.0,0.0
2656,Victor Lindelöf,0.8,1.1,0.8,3.3,0.5,0.0,1.0,1.0,0.1,0.2,0.1,0.3,0.0,0.1,0.3,1.0,0.2,64.3,89.8,0.0,2.1,0.0
2657,Victor Mollejo,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.5,8.3,66.7,0.0,0.0,0.0
2658,Victor Osimhen,0.9,0.3,1.4,0.4,0.0,0.0,10.0,3.0,2.8,1.0,0.5,1.5,0.8,0.7,1.9,3.0,1.0,9.8,71.5,0.1,0.2,0.0
2659,Victorien Angban,1.4,0.7,1.0,0.3,0.2,0.0,0.0,1.0,0.2,0.5,0.8,1.0,0.0,1.2,0.9,1.0,0.5,33.7,88.5,0.0,2.3,0.0
2660,Viktor Kovalenko,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
2661,Vincent Laurini ,1.1,1.2,0.9,1.3,0.3,0.0,0.0,0.0,0.1,0.1,0.1,1.3,0.0,0.1,0.6,0.0,0.1,28.8,83.6,0.3,2.0,0.0
