,players,age,league,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall
1409,Jean-Philippe Mateta,24,Bundesliga,Forward,Mainz 05,1002,604,398,France,15,8,7,7,3,4,1,1,0,1,0,1,0,1,20,10,10,2,0,0.72,0.09,0.63,0.45,0.9,143,1.8,50,67,501,1002,0.18
1410,Jean-Philippe Mateta,24,Premier League,Forward,Crystal Palace,217,36,181,France,7,2,5,1,0,1,0,0,0,0,0,0,0,0,4,0,4,0,0,0.41,0.0,0.41,0.0,0.5,217,1.66,54,31,0,0,0.0
1411,Jean-Pierre Rhyner,25,La Liga,Defender,Cádiz,0,0,0,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
1412,Jean-Victor Makengo,23,Serie A,Midfielder,Udinese,514,256,258,France,17,8,9,0,0,0,0,0,0,0,0,4,4,0,9,3,6,1,0,0.0,0.0,0.0,0.0,0.0,0,1.58,57,30,514,0,0.18
1413,Jeanricner Bellegarde,23,Ligue 1,Midfielder,Strasbourg,2097,1126,971,France,36,18,18,1,1,0,1,1,0,0,0,9,5,4,35,22,13,3,0,0.09,0.04,0.04,0.08,0.0,2097,1.5,60,58,699,2097,0.13
1414,Jed Steer,28,Premier League,Goalkeeper,Aston Villa,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
1415,Jeff Hendrick,29,Premier League,Midfielder,Newcastle United,1423,560,863,Republic of Ireland,22,7,15,2,0,2,1,0,1,0,0,5,0,5,22,12,10,3,1,0.19,0.06,0.13,0.0,0.21,712,1.39,65,65,474,1423,0.19
1416,Jeff Reine-Adelaide,23,Ligue 1,Midfielder,Nice,1082,521,561,France,15,8,7,1,1,0,2,1,1,0,0,4,0,4,15,11,4,1,0,0.25,0.17,0.08,0.17,0.0,1082,1.25,72,72,1082,541,0.08
1417,Jeffrey Bruma,29,Bundesliga,Defender,Wolfsburg,0,0,0,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
1418,Jeffrey Gouweleeuw,30,Bundesliga,Defender,Augsburg,2836,1396,1440,Netherlands,32,16,16,1,0,1,0,0,0,0,0,7,3,4,45,20,25,9,0,0.03,0.0,0.03,0.0,0.06,2836,1.43,63,89,315,0,0.29
1419,Jeffrey Schlupp,28,Premier League,Defender,Crystal Palace,1425,845,580,Ghana,27,14,13,2,2,0,3,1,2,0,0,5,4,1,23,14,9,3,0,0.32,0.19,0.13,0.21,0.0,713,1.45,62,53,475,475,0.19
1420,Jeison Murillo,29,La Liga,Defender,Celta de Vigo,2703,1334,1369,Colombia,31,15,16,2,2,0,0,0,0,0,0,6,3,3,41,20,21,11,1,0.07,0.0,0.07,0.13,0.0,1352,1.37,66,87,246,0,0.37
1421,Jeison Steven Lucumí Mina,26,La Liga,Midfielder,Elche CF,49,46,3,Colombia,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,25,0,0,0.0
1422,Jens Grahl,32,Bundesliga,Goalkeeper,Stuttgart,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
1423,Jens Jønsson,28,La Liga,Midfielder,Cádiz,2629,1365,1264,Denmark,35,17,18,0,0,0,0,0,0,0,0,10,4,6,37,19,18,6,0,0.0,0.0,0.0,0.0,0.0,0,1.27,71,75,438,0,0.21
1424,Jens Larsen,30,Serie A,Defender,Udinese,2646,1314,1332,Denmark,33,16,17,2,0,2,0,0,0,0,0,8,6,2,40,12,28,0,0,0.07,0.0,0.07,0.0,0.14,1323,1.36,66,80,0,0,0.0
1425,Jens Petter Hauge,21,Serie A,Forward,AC Milan,520,304,216,Norway,18,11,7,2,1,1,0,0,0,0,0,6,4,2,7,4,3,0,0,0.35,0.0,0.35,0.3,0.42,260,1.21,74,29,0,0,0.0
1426,Jensen Weir,19,Premier League,Midfielder,Brighton & Hove Albion,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
1427,Jerdy Schouten,24,Serie A,Forward,Bologna,2519,1322,1197,Netherlands,34,17,17,1,0,1,1,1,0,0,0,5,3,2,44,24,20,9,1,0.07,0.04,0.04,0.0,0.08,2519,1.57,57,74,252,2519,0.36
1428,Jeremiah St. Juste,24,Bundesliga,Defender,Mainz 05,2880,1440,1440,Netherlands,32,16,16,0,0,0,1,0,1,0,0,5,2,3,50,22,28,4,0,0.03,0.03,0.0,0.0,0.0,0,1.56,58,90,720,2880,0.13
1429,Jeremie Boga,24,Serie A,Midfielder,Sassuolo,1789,831,958,Côte d'Ivoire,27,13,14,4,1,3,2,1,1,0,0,8,4,4,29,13,16,0,0,0.3,0.1,0.2,0.11,0.28,447,1.46,62,66,0,895,0.0
1430,Jeremie Frimpong,20,Bundesliga,Midfielder,Bayer Leverkusen,434,176,258,England,10,5,5,0,0,0,0,0,0,0,0,3,1,2,8,3,5,1,0,0.0,0.0,0.0,0.0,0.0,0,1.66,54,43,434,0,0.21
1431,Jeremy Doku,19,Ligue 1,Forward,Rennes,2317,1205,1112,Belgium,30,15,15,2,0,2,3,2,1,0,0,8,3,5,27,15,12,2,1,0.19,0.12,0.08,0.0,0.16,1159,1.05,86,77,772,772,0.12
1432,Jeremy Toljan,26,Serie A,Defender,Sassuolo,1494,786,708,Germany,26,14,12,0,0,0,1,0,1,0,0,5,3,2,22,12,10,2,0,0.06,0.06,0.0,0.0,0.0,0,1.33,68,57,747,1494,0.12
1433,Jeremías Ledesma,28,La Liga,Goalkeeper,Cádiz,2880,1440,1440,Argentina,32,16,16,0,0,0,0,0,0,0,0,9,4,5,43,21,22,0,0,0.0,0.0,0.0,0.0,0.0,0,1.34,67,90,0,0,0.0
1434,Jeroen Zoet,30,Serie A,Goalkeeper,Spezia,604,360,244,Netherlands,7,4,3,0,0,0,0,0,0,0,0,1,0,1,12,7,5,1,0,0.0,0.0,0.0,0.0,0.0,0,1.79,50,86,604,0,0.15
1435,Jesse Lingard,28,Premier League,Midfielder,West Ham United,1426,709,717,England,16,8,8,9,5,4,4,1,3,1,1,4,3,1,18,7,11,3,0,0.82,0.25,0.57,0.63,0.5,158,1.14,79,89,475,357,0.19
1436,Jessic Ngankam,21,Bundesliga,Forward,Hertha BSC,289,129,160,Germany,15,5,10,2,0,2,0,0,0,0,0,5,3,2,2,1,1,1,0,0.62,0.0,0.62,0.0,1.13,145,0.62,145,19,289,0,0.31
1437,Jessy Moulin,35,Ligue 1,Goalkeeper,Saint-Étienne,2610,1260,1350,France,29,14,15,0,0,0,0,0,0,0,0,9,4,5,40,19,21,1,0,0.0,0.0,0.0,0.0,0.0,0,1.38,65,90,2610,0,0.03
1438,Jesuran Rak-Sakyi,0,Premier League,Forward,Crystal Palace,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
1439,Jesé,28,Ligue 1,Forward,PSG,22,0,22,Spain,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,11,0,0,0.0
1440,Jesús Navas,35,La Liga,Midfielder,Sevilla FC,2836,1363,1473,Spain,34,16,18,0,0,0,6,4,2,0,0,13,8,5,28,9,19,4,0,0.19,0.19,0.0,0.0,0.0,0,0.89,101,83,709,473,0.13
