,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
401,Kelvin Amian,0.0,2,0.4,0.3,0.6,0.4,0.0,0.5,0.9,6.36
402,Boubakary Soumaré,0.0,0.0,0.1,0.6,1,0.5,0.0,0.8,0.9,6.35
403,Lois Diony,2,0.0,1.3,0.5,0.1,0.7,0.3,1.2,1.6,6.35
404,Maxime Lopez,0.0,3,0.4,0.8,0.7,0.2,0.0,0.4,1,6.35
405,Loïc Mbe Soh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.35
406,Ruben Gabrielsen,0.0,0.0,0.5,0.1,0.4,0.6,0.0,0.1,0.0,6.35
407,Stéphane Ruffier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35
408,Thiago Maia,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.3,6.34
409,Matheus Pereira,0.0,0.0,1.2,1.1,0.3,0.2,0.1,0.4,0.7,6.34
410,Jean Lucas,1,0.0,0.5,0.2,0.5,0.5,0.0,0.5,0.3,6.34
411,Jonas Martin,0.0,0.0,0.3,0.3,0.0,0.3,0.0,1,0.7,6.34
412,Stéphane Bahoken,4,0.0,1,0.6,0.3,0.6,0.3,1.2,1.9,6.34
413,Maxence Rivera,0.0,0.0,1,0.0,3,0.0,0.0,1,1,6.33
414,Rúnar Alex Rúnarsson,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6.33
415,Ludovic Butelle,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,6.32
416,Xeka,0.0,0.0,0.5,0.5,0.2,0.5,0.0,0.2,0.6,6.32
417,Anastasios Donis,0.0,0.0,1.1,0.4,1.4,0.5,0.3,0.5,0.9,6.32
418,Renaud Emond,0.0,0.0,0.7,0.3,0.3,1,0.0,0.5,0.8,6.32
419,Quentin Cornette,0.0,2,0.2,0.2,0.7,0.4,0.1,1,1.5,6.32
420,Bryan Soumaré,0.0,0.0,0.5,0.4,0.8,0.7,0.0,0.9,0.8,6.32
421,Mickael Le Bihan,0.0,1,1,0.5,0.0,0.0,0.0,1.5,1.5,6.32
422,Chadrac Akolo,2,1,0.6,0.4,0.3,0.5,0.1,1,0.9,6.32
423,Adrien Tameze,1,0.0,0.6,0.9,1,0.8,0.0,0.9,1.1,6.32
424,Kévin Denkey,3,1,1.2,0.3,0.4,0.7,0.1,0.7,1.3,6.32
