,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
64,Konstantinos Mavropanos,0.0,0.0,0.7,0.2,0.4,0.8,0.0,0.3,0.8,6.91
65,Christopher Lenz,0.0,3,0.6,0.7,0.7,0.7,0.1,0.5,1,6.91
66,Matthias Ginter,2,1,0.7,0.3,0.3,1,0.0,0.1,0.1,6.91
67,Christoph Baumgartner,6,3,2,1.1,1.1,1.7,0.0,1.2,2.9,6.91
68,Florian Hübner,0.0,0.0,0.5,0.2,0.2,1.3,0.0,0.2,1,6.91
69,Renato Steffen,5,4,1.4,1,0.4,0.9,0.1,1,2,6.91
70,Nicolas Höfler,1,3,0.6,0.5,1.1,1.1,0.0,0.5,0.9,6.91
71,Paulo Otávio,0.0,2,0.6,0.6,0.8,1.4,0.0,0.5,1.7,6.91
72,Orel Mangala,1,3,1.1,0.8,2.2,1.2,0.0,1.8,2.1,6.9
73,Blendi Idrizi,1,0.0,1.3,0.3,1.3,0.3,0.0,1.3,2.3,6.9
74,Marc Oliver Kempf,2,1,0.5,0.3,0.6,1.2,0.0,0.5,0.5,6.89
75,Benjamin Pavard,0.0,0.0,0.5,0.5,0.1,0.9,0.0,0.1,0.8,6.89
76,Florian Wirtz,5,5,1.1,1.6,2.1,0.5,0.2,1.5,2.2,6.89
77,Ellyes Skhiri,5,2,0.5,0.5,0.5,0.5,0.1,0.5,1.0,6.88
78,Robert Andrich,5,2,1.4,0.7,0.7,1.2,0.1,0.4,1.2,6.88
79,Ondrej Duda,7,4,1.6,1.3,1.6,1.7,0.2,0.9,2.8,6.88
80,Dayot Upamecano,1,0.0,0.5,0.3,0.4,0.3,0.0,0.2,0.8,6.87
81,Ludwig Augustinsson,0.0,4,0.7,1.8,0.3,1.1,0.1,0.2,0.7,6.87
82,Ritsu DoanArminia Bielefeld,5,2,2.0,1.4,1.8,1.9,0.1,1.5,3.2,6.86
83,Amine Harit,2,5,0.8,1.8,3.2,2.8,0.3,2.1,2.3,6.86
