,Player,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
66,Wilfried Zaha,1.1,0.5,1.3,0.0,0.1,1.0,0.1,0.0,4.0,3.0,1.6,0.9,4.3,3.2,0.4,3.9,3.4,3.0,0.9,28.8,81.1,0.5,0.7,0.0
67,Chris Basham,2.2,2.0,0.7,0.3,4.4,0.9,0.4,0.0,0.0,1.0,0.2,0.3,0.6,0.8,0.1,0.2,0.9,1.0,0.3,34.6,74.7,0.2,1.8,0.0
68,Jonjo Shelvey,1.1,0.9,0.7,0.0,1.3,1.2,0.2,0.0,6.0,2.0,1.7,1.7,0.6,0.2,0.0,0.4,0.9,2.0,1.7,40.2,76.9,0.8,5.5,0.1
69,Lucas Moura,1.6,0.4,0.9,0.0,0.7,1.2,0.1,0.0,4.0,4.0,1.6,1.0,2.1,1.8,0.1,2.1,1.7,4.0,1.0,22.1,73.5,0.1,0.3,0.1
70,Ben Chilwell,1.6,1.0,1.1,0.2,2.0,1.1,0.2,0.0,3.0,3.0,0.6,1.3,0.7,1.1,0.0,0.8,1.9,3.0,1.3,61.3,78.3,0.7,2.0,0.0
71,Nathan Redmond,1.5,0.5,0.7,0.0,0.3,1.1,0.1,0.0,4.0,4.0,1.8,1.2,2.5,1.0,0.2,1.6,2.3,4.0,1.2,31.9,73.7,0.2,1.2,0.0
72,Felipe Anderson,1.8,0.9,0.7,0.0,0.4,1.4,0.0,0.0,1.0,4.0,0.9,1.0,2.5,1.0,0.1,1.2,1.9,4.0,1.0,35.8,78.8,0.4,1.7,0.1
73,Pablo Marí,1.0,0.5,1.0,0.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,85.0,0.0,4.0,0.0
74,Mateo Kovacic,2.0,0.7,0.6,0.0,0.5,1.3,0.0,0.0,1.0,3.0,0.7,0.9,2.5,1.2,0.0,0.9,1.0,3.0,0.9,60.3,89.7,0.0,3.0,0.1
75,Naby Keïta,1.7,0.6,0.5,0.0,0.1,0.8,0.0,0.0,2.0,3.0,0.7,0.8,1.3,0.6,0.1,0.5,0.8,3.0,0.8,37.7,88.8,0.0,0.8,0.2
76,Shkodran Mustafi,1.1,1.2,0.9,0.3,4.7,0.4,0.4,0.0,0.0,1.0,0.7,0.2,0.2,0.2,0.0,0.1,0.3,1.0,0.2,56.3,81.9,0.1,3.2,0.0
77,John Egan,1.2,1.6,0.9,0.4,4.6,0.6,0.8,0.0,2.0,0.0,0.8,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,35.8,80.2,0.0,3.1,0.0
78,Jack O'Connell,0.7,1.3,0.6,0.4,4.4,0.3,0.5,0.0,0.0,1.0,0.4,0.5,0.3,0.5,0.1,0.3,0.6,1.0,0.5,47.2,73.5,0.3,3.8,0.0
79,Jordan Ayew,1.3,0.4,1.6,0.0,0.5,0.9,0.1,0.0,9.0,2.0,1.6,0.8,2.0,2.8,0.2,2.6,3.1,2.0,0.8,22.0,81.3,0.0,0.5,0.1
80,Alexandre Lacazette,1.0,0.2,1.5,0.0,0.5,0.5,0.0,0.0,10.0,4.0,1.7,0.8,0.8,1.5,0.4,1.2,1.8,4.0,0.8,16.8,76.4,0.2,0.4,0.0
