Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Samuel Chukwueze,5,2,2.2,0.8,2,0.8,0.7,1.2,1.7,6.78
Mario Suárez,2,0,1.3,0.7,1.1,1.9,0.1,1.1,1,6.78
Marco Asensio,1,4,1.5,1,1.4,0.7,0.3,0.5,1.5,6.78
Kenneth Omeruo,0,0,0.1,0.1,0.3,0.4,0,0.1,0.4,6.78
Sergi Darder,4,2,1.6,1.1,1,0.9,0,0.7,1.3,6.78
Raphaël Varane,2,0,0.6,0.1,0.2,0.4,0,0.2,0.4,6.78
Adrián Embarba,5,6,1.4,1.5,1.3,1,0.3,1.4,2.1,6.78
Cristian Tello,4,6,1.2,1,0.9,0.4,0.2,0.5,1,6.78
Tomás Pina,2,0,0.4,0.8,0.4,1.8,0,0.6,1,6.77
Rubén Duarte,0,0,0.7,0.8,0.2,1.8,0,0.2,0.6,6.77
Carlos Soler,2,6,1.3,1.1,0.8,1.6,0,1,1.5,6.77
Mikel Vesga,1,1,0.5,0.6,0.7,0.9,0,1.1,1.5,6.77
Bernardo Espinosa,1,1,0.5,0.3,0.1,0.2,0.1,0.1,0.3,6.77
Vinícius Júnior,2,0,2.3,0.8,2.3,1.2,0.4,1.3,1.5,6.77
Víctor Laguardia,1,2,0.5,0.2,0,0.4,0.1,0.1,0.2,6.76
Raúl García,0,1,0.5,0.6,0.9,0.9,0.1,0.6,0.8,6.76
Dani Ceballos,3,0,1,1,0.6,1.7,0,1.2,1,6.76
Mauro Arambarri,1,2,0.9,0.5,1,1.7,0,0.8,1.1,6.76
David Soria,0,0,0,0.1,0,0.1,0,0,0.1,6.76
Keylor Navas,0,0,0,0,0,0.2,0,0,0,6.76
Jason,2,5,1.1,1,1,1.7,0.1,1.1,1.5,6.76
Juanpe,0,0,0.6,0.2,0.3,0.3,0.1,0,0.3,6.76
Jorge Pulido,3,3,0.6,0.4,0.2,1,0.2,0.3,0.5,6.75
Asier Illarramendi,1,1,0.6,0.5,0.3,1.5,0,0.6,1,6.75
Diego Llorente,0,0,0.3,0.1,0.1,0.6,0,0.1,0.2,6.74
Álvaro Odriozola,0,2,0.1,1.3,0.5,1.4,0.4,0.7,1.1,6.74
Willian José,11,5,1.8,1.2,0.6,1,0.6,1.7,1.5,6.74
Brahim Díaz,1,1,0.8,0.8,1.9,1.6,0,0.9,2,6.74
Christian Rivera,2,0,0.6,0.5,0.8,0.5,0,0.7,1,6.74
Denis Cheryshev,2,2,1.2,1.4,0.7,0.7,0.4,0.6,1.6,6.74
Unai Bustinza,0,1,0.2,0.4,0.1,1.2,0,0.3,0.4,6.74
Fernando Pacheco,0,0,0,0.1,0,0.1,0,0,0,6.74
Daniel Wass,1,3,0.9,1,0.3,1.3,0.1,0.4,0.8,6.74
Ibai Gómez,3,2,2.3,1.2,0.8,0.5,0,1.2,1.6,6.74
Álex Moreno,1,1,0.7,0.9,1.6,1.2,0.2,1.2,1.5,6.73
Néstor Araújo,3,0,0.4,0.1,0.1,0.1,0,0.1,0.2,6.73
Rodrigo Ely,0,0,0.4,0.4,0,0.4,0,0,0.6,6.73
Fernando Calero,1,0,0.3,0.1,0.3,0.3,0,0.1,0.3,6.73
Andrés Fernández,0,0,0,0.2,0,0,0,0,0,6.73
Álex Gálvez,1,0,0.4,0.2,0.1,0.8,0.1,0.2,0.2,6.73
Enis Bardhi,3,4,1.8,0.8,1.2,1.3,0.1,1.6,1.9,6.73
Yassine Bounou,0,0,0,0,0,0.1,0,0,0.1,6.73
Raúl Navas,0,0,0.3,0.4,0.3,0.8,0.1,0,0.3,6.72
Alfonso Pedraza,3,3,1.1,0.7,0.9,0.4,0.2,0.4,1.4,6.72
Gabriel Mercado,2,1,0.5,0.1,0,0.8,0.1,0.1,0.1,6.72
Aitor Fernández,0,0,0,0.1,0,0.3,0,0,0,6.72
Roberto Santamaría,0,0,0,0.1,0,0.2,0,0,0.1,6.72
David López,0,0,0.4,0.2,0.3,0.8,0,0.1,0.3,6.72
Diego López,0,0,0,0,0,0.1,0,0,0.1,6.72
Iván Ramis,0,0,0.8,0,0.2,0.5,0.1,0,0.2,6.72
Pablo Fornals,2,3,1.7,1.3,1.1,1.2,0.1,1.5,1.7,6.71
Thibaut Courtois,0,0,0,0,0,0.2,0,0,0,6.71
Santi Mina,7,5,1.4,0.5,0.4,1.4,0.4,1.6,1.8,6.71
Vasyl Kravets,0,0,0.7,1,1.2,0.5,0,0.8,1.2,6.71
Míchel,1,2,0.6,1.5,0.6,0.6,0.1,0.7,1.1,6.71
Mario Gaspar,1,2,0.8,0.5,0.4,0.4,0,0.4,0.5,6.71
Kiko Olivas,0,0,0.2,0.1,0.5,1.1,0,0.2,0.3,6.71
Sidnei,1,0,0.4,0.1,0.5,0.7,0,0.3,0.5,6.71
Joris Gnagnon,0,0,0.4,0.3,0.4,1,0,0.7,0.3,6.71
Sergi Gómez,0,0,0.3,0.2,0,0.2,0.1,0.1,0.1,6.7
Santiago Comesaña,1,1,0.3,0.5,1,1.1,0,1.2,0.7,6.7
Anaitz Arbilla,1,2,0.7,0.2,0.2,0.2,0,0.2,0.6,6.7
Charles,14,1,1.9,0.4,0,0.9,0.4,0.5,1,6.7
Yangel Herrera,0,0,0.9,0.3,0.9,1.4,0,1.3,1.1,6.7
Moi Gómez,2,7,0.7,1.4,0.9,0.7,0,1,1.2,6.7
Paulo Oliveira,0,0,0.3,0,0,0.4,0,0.1,0.3,6.7
Neto,0,0,0,0,0,0,0,0,0.1,6.7
Pablo Hervías,0,1,1.3,2,2,1.7,0,1.3,0,6.69
Juanfran,0,2,0,0.9,0.5,0.5,0.1,0.5,0.5,6.69
Óscar Plano,3,4,1.4,0.9,0.8,2,0.2,1,2,6.69
Xabier Etxeita,4,0,0.8,0.1,0,0.4,0,0,0.2,6.69
Marc-André ter Stegen,0,0,0,0,0,0.1,0,0,0,6.69
Manu García,1,1,0.8,0.4,0.4,1.6,0.1,0.8,0.7,6.68
Nélson Semedo,1,0,0.2,0.2,0.7,1,0.2,0.9,0.9,6.68
Pablo Ínsua,0,0,0.2,0.1,0.1,0.4,0.1,0.4,0.5,6.68
Toño,1,2,0.7,0.7,1.6,0.9,0.4,0.8,1,6.68
Beñat Etxebarria,1,2,0.6,1.2,0.3,0.6,0,0.9,0.4,6.68
Chimy Avila,10,2,2.6,0.6,0.6,1.4,0.3,0.8,1.5,6.68
Maximilian Wöber,0,0,0.7,0.7,0.1,0.1,0,0.3,0.7,6.68
Ángel Correa,3,2,0.9,1.1,1.8,1,0.3,1.7,1.8,6.68
Carlos Akapo,0,0,0.5,0.2,0.6,1,0,0.2,0.6,6.68
Martin Braithwaite,4,5,1.5,0.7,0.9,0.8,0.7,1.3,2,6.67
Dani García,0,0,0.1,0.1,0.1,0.9,0,0.4,0.3,6.67
Luis Advíncula,1,3,0.6,0.6,1.4,1.6,0,1.2,1.5,6.67
Aïssa Mandi,1,1,0.2,0.5,0.2,0.6,0,0.1,0.3,6.67
Giannelli Imbula,1,1,1,1,2.6,1.8,0,1.8,1.5,6.67
Víctor Ruiz,0,0,0.4,0.2,0.4,0.5,0,0,0.5,6.67
Andrés Solano,0,0,0,0,0,1,0,0,0,6.67
Rodrigo Tarín,0,0,0.2,0.1,0.1,0.4,0,0.1,0.2,6.67
Iñigo Córdoba,0,5,1,0.8,1.4,0.9,0.1,1.3,2,6.67
Cucho Hernández,4,3,2.4,0.9,1.1,1.2,0.4,1.4,2,6.66
Jaume Costa,1,0,0.6,0.4,0.5,1.1,0,0.2,0.4,6.66
Ryad Boudebouz,1,2,1,1.5,1.2,0.8,0,1.3,1.5,6.66
Miguelón,0,0,0.3,0.4,0.6,1.3,0,0.8,1.4,6.66
Mathías Olivera,0,1,0.4,0.5,0.7,1.6,0.1,0.9,1.3,6.66
Abel Ruiz,0,0,1,1,2,0,0,0,0,6.66
Isco,3,2,0.9,1,1.3,1.3,0.1,1.1,0.9,6.66
Pere Pons,1,2,0.6,0.5,0.8,1.4,0,1.1,1.3,6.66
Rubén Pérez,0,0,0.4,0.5,0.4,1.3,0,0.2,0.5,6.66
Álvaro González,1,2,0.4,0.3,0,0.9,0,0.1,0.3,6.66
Wu Lei,3,1,1.9,0.6,0.6,0.8,0.8,0.7,1.6,6.66
Sergio Escudero,0,1,1.3,0.6,0.6,1,0,0.5,1.1,6.65
Moussa Wague,0,0,0.3,1.7,2,0,1,1,1.7,6.65
Bruno González,0,1,0.3,0.1,0.1,0.6,0,0.1,0.2,6.65
Allan-Roméo Nyom,1,1,0.2,1.1,0.4,0.9,0.2,0.4,0.8,6.65
Iván Cuéllar,0,0,0,0,0,0.2,0,0,0,6.65
Mouctar Diakhaby,2,0,0.5,0,0.2,0.4,0,0.1,0.1,6.65
Nacho,0,1,0.3,0.3,0.5,0.6,0,0.3,0.4,6.64
Chema Rodríguez,2,0,0.3,0.2,0.1,0.3,0,0.1,0.2,6.64
Óscar Trejo,1,4,0.8,1.1,1.3,1.7,0.1,1.8,2.3,6.64
David Timor,0,0,1,0,0,0.5,0,0,1,6.64
Robert Mazán,0,0,1,2,0,0,0,0,1,6.64
Pau López,0,0,0,0,0,0.2,0,0,0,6.64
Facundo Roncaglia,0,0,0.4,0,0.1,0.9,0,0.3,0.3,6.64
Juanfran,1,1,0.4,1,0.6,0.8,0,0.4,0.7,6.64
Adrià Pedrosa,1,0,0.5,0.7,1.1,0.6,0.1,0.8,1.1,6.63
Rubén Pardo,1,2,0.9,1.6,0.3,0.4,0,0.5,0.4,6.63
Lucas Vázquez,1,3,0.8,1,1.1,1.2,0.1,1.1,1.9,6.63
Stefan Savic,0,2,0.4,0.2,0.1,0.3,0,0,0.4,6.63
Roger Martí,13,0,2.3,0.5,0.4,1,0.3,0.6,1.4,6.63
Francis,0,1,0.5,0.6,0.7,1.8,0,0.9,1,6.63
David Zurutuza,2,0,0.5,0.5,0.2,1.7,0.1,1.2,1,6.63
Peru Nolaskoain,2,0,0.5,0.1,0.3,0.1,0,0.1,0.3,6.63
Coke,4,0,0.4,0.4,0.4,1.1,0,0.5,0.9,6.63
Pedro Porro,0,4,0.7,0.8,0.9,1.1,0,0.6,1.6,6.63
Leo Baptistão,2,1,2.1,0.9,1.1,1.1,0.2,0.8,1.8,6.61
Amath Ndiaye,1,2,1,0.7,1.3,1.4,0.2,1.7,2.4,6.61
Portu,9,2,1.1,1,0.9,1.2,0.3,1.9,1.9,6.61
Juan Soriano,0,0,0,0,0,0.3,0,0,0,6.61
Samuel Umtiti,0,1,0.1,0.1,0.3,1.1,0.1,0.3,0.1,6.6
Ander Capa,0,0,0.4,0.5,0.8,0.6,0.3,0.8,0.8,6.6
