,Player,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
204,Iván Ramis,0.0,0.0,38.5,79.4,0.0,5.4,0.0,6.72
205,Pablo Fornals,3,1.3,32.3,78.1,0.2,1.5,0.1,6.71
206,Thibaut Courtois,0.0,0.0,24.9,72.5,0.0,3.9,0.0,6.71
207,Santi Mina,5,0.5,15.4,73.0,0.1,0.5,0.1,6.71
208,Vasyl Kravets,0.0,1,27.5,75.8,1,1.0,0.0,6.71
209,Míchel,2,1.5,45.8,84.7,0.9,4.5,0.0,6.71
210,Mario Gaspar,2,0.5,34.0,77.2,0.3,1.2,0.0,6.71
211,Kiko Olivas,0.0,0.1,38.5,88.1,0.0,2.2,0.0,6.71
212,Sidnei,0.0,0.1,51.8,89.5,0.0,3.0,0.0,6.71
213,Joris Gnagnon,0.0,0.3,36.9,90.3,0.0,1.6,0.0,6.71
214,Sergi Gómez,0.0,0.2,45.5,84.6,0.1,4.4,0.0,6.7
215,Santiago Comesaña,1,0.5,42.7,84.9,0.1,3.4,0.0,6.7
216,Anaitz Arbilla,2,0.2,44.6,75.3,0.0,6.6,0.0,6.7
217,Charles,1,0.4,16.0,69.4,0.0,0.2,0.0,6.7
218,Yangel Herrera,0.0,0.3,27.1,75.8,0.1,0.9,0.0,6.7
219,Moi Gómez,7,1.4,39.4,82.8,0.8,3.5,0.0,6.7
220,Paulo Oliveira,0.0,0.0,36.1,68.7,0.0,4.6,0.0,6.7
221,Neto,0.0,0.0,20.3,48.6,0.0,5.3,0.0,6.7
222,Pablo Hervías,1,2,15.7,80.9,1.7,0.0,0.0,6.69
223,Juanfran,2,0.9,35.0,82.2,0.8,1.1,0.0,6.69
224,Óscar Plano,4,0.9,23.4,76.8,0.4,0.9,0.0,6.69
225,Xabier Etxeita,0.0,0.1,28.5,75.2,0.1,2.8,0.0,6.69
226,Marc-André ter Stegen,0.0,0.0,25.3,83.2,0.0,5.3,0.0,6.69
227,Manu García,1,0.4,27.4,74.3,0.1,1.1,0.0,6.68
228,Nélson Semedo,0.0,0.2,41.4,91.2,0.0,1.3,0.0,6.68
229,Pablo Ínsua,0.0,0.1,24.6,78.0,0.0,2,0.0,6.68
230,Toño,2,0.7,30.2,74.8,0.3,1.3,0.0,6.68
231,Beñat Etxebarria,2,1.2,43.2,85.0,1.2,3.4,0.0,6.68
232,Chimy Avila,2,0.6,15.4,54.3,0.2,1.4,0.0,6.68
233,Maximilian Wöber,0.0,0.7,37.1,81.2,0.4,2.6,0.1,6.68
234,Ángel Correa,2,1.1,19.8,75.6,0.1,0.6,0.2,6.68
235,Carlos Akapo,0.0,0.2,26.8,76.1,0.0,1.2,0.0,6.68
236,Martin Braithwaite,5,0.7,12.7,73.0,0.0,0.2,0.1,6.67
237,Dani García,0.0,0.1,48.1,82.8,0.0,3.8,0.0,6.67
238,Luis Advíncula,3,0.6,33.5,82.2,0.5,1.8,0.0,6.67
239,Aïssa Mandi,1,0.5,73.6,92.6,0.1,4.3,0.0,6.67
240,Giannelli Imbula,1,1,32.2,91.3,0.3,1.5,0.0,6.67
241,Víctor Ruiz,0.0,0.2,54.4,86.0,0.1,4.1,0.0,6.67
242,Andrés Solano,0.0,0.0,26.0,76.9,0.0,1.0,0.0,6.67
243,Rodrigo Tarín,0.0,0.1,26.0,76.9,0.1,2.0,0.0,6.67
244,Iñigo Córdoba,5,0.8,17.7,70.0,0.3,0.3,0.0,6.67
245,Cucho Hernández,3,0.9,16.0,70.0,0.4,0.8,0.1,6.66
246,Jaume Costa,0.0,0.4,37.0,82.4,0.4,1.7,0.1,6.66
247,Ryad Boudebouz,2,1.5,31.5,83.2,1,2.0,0.0,6.66
248,Miguelón,0.0,0.4,20.4,79.1,0.4,0.8,0.0,6.66
249,Mathías Olivera,1,0.5,22.5,58.7,0.4,0.5,0.1,6.66
250,Abel Ruiz,0.0,1.0,10.0,80.0,0.0,0.0,0.0,6.66
251,Isco,2,1.0,34.4,88.6,0.3,1.5,0.1,6.66
252,Pere Pons,2,0.5,34.8,78.5,0.1,1.4,0.0,6.66
253,Rubén Pérez,0.0,0.5,43.5,80.2,0.0,4.4,0.0,6.66
254,Álvaro González,2,0.3,44.0,79.9,0.1,3.9,0.0,6.66
255,Wu Lei,1,0.6,12.4,74.2,0.2,0.2,0.0,6.66
256,Sergio Escudero,1,0.6,35.4,81.0,0.3,1.3,0.1,6.65
257,Moussa Wague,0.0,1.7,42.3,87.4,0.3,0.3,0.0,6.65
258,Bruno González,1,0.1,21.7,70.8,0.1,1.7,0.0,6.65
259,Allan-Roméo Nyom,1,1.1,21.3,75.6,1.1,0.5,0.0,6.65
260,Iván Cuéllar,0.0,0.0,28.9,51.7,0.0,10.5,0.0,6.65
261,Mouctar Diakhaby,0.0,0.0,31.6,85.1,0.0,2.3,0.0,6.65
262,Nacho,1,0.3,49.4,90.1,0.1,1.9,0.0,6.64
263,Chema Rodríguez,0.0,0.2,19.5,73.9,0.0,1.9,0.0,6.64
264,Óscar Trejo,4,1.1,32.3,78.5,0.2,0.5,0.1,6.64
265,David Timor,0.0,0.0,43.5,85.1,0.0,5.0,0.0,6.64
266,Robert Mazán,0.0,2,44.0,86.4,0.0,2.0,0.0,6.64
267,Pau López,0.0,0.0,32.5,79.1,0.0,4.8,0.0,6.64
268,Facundo Roncaglia,0.0,0.0,39.9,80.3,0.1,2.1,0.0,6.64
269,Juanfran,1,1,19.8,72.8,1.3,1.3,0.0,6.64
270,Adrià Pedrosa,0.0,0.7,19.0,81.6,0.3,0.8,0.1,6.63
271,Rubén Pardo,2,1.6,33.5,82.9,1.3,2.2,0.1,6.63
272,Lucas Vázquez,3,1.0,28.2,84.1,0.5,0.8,0.1,6.63
273,Stefan Savic,2,0.2,30.2,81.6,0.0,3.1,0.0,6.63
274,Roger Martí,0.0,0.5,11.2,69.5,0.1,0.5,0.0,6.63
275,Francis,1,0.6,35.6,81.5,0.4,0.8,0.0,6.63
276,David Zurutuza,0.0,0.5,28.7,80.8,0.0,1.1,0.1,6.63
277,Peru Nolaskoain,0.0,0.1,34.5,86.2,0.0,1.8,0.0,6.63
278,Coke,0.0,0.4,27.6,74.8,0.3,1.4,0.0,6.63
279,Pedro Porro,4,0.8,27.0,70.5,0.8,1.6,0.0,6.63
280,Leo Baptistão,1,0.9,18.5,73.4,0.0,0.4,0.1,6.61
281,Amath Ndiaye,2,0.7,13.0,71.8,0.1,0.7,0.0,6.61
282,Portu,2,1,18.3,74.2,0.4,0.3,0.1,6.61
283,Juan Soriano,0.0,0.0,29.8,42.9,0.0,6.0,0.0,6.61
284,Samuel Umtiti,1,0.1,63.4,94.5,0.0,2.2,0.0,6.6
285,Ander Capa,0.0,0.5,27.4,73.7,0.3,1.4,0.0,6.6
