,Player,age,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
471,Stefan Posch,23,Defender,Hoffenheim,1404,789,615,Austria,17,9,8,0,0,0,0,0,0,0,0,2,2,0,21,11,10,5,0,0,0,0,0,0,0,1.35,67,83,281,0,0.32,259,268,42,19,2.6,1.2,1.8,0.5,3.2,0.6,0.6,0,0,0,0.3,0.1,0.1,0.6,0,0.2,0.3,0,0.1,58.1,88,0.1,2.5,0
472,Stefano Russo,20,Defender,Augsburg,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,Stefanos Kapino,27,Goalkeeper,Werder Bremen,44,44,0,Greece,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,-1,-1,-1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,55.6,0,1,0
474,Steven Skrzybski,28,Forward,Schalke 04,667,262,405,Germany,12,5,7,3,2,1,1,0,1,0,0,1,0,1,14,6,8,1,0,0.54,0.13,0.4,0.69,0.22,222,1.89,48,56,667,667,0.13,44,115,-1,4,0.8,0.3,0.8,0.1,0,0.7,0.1,0,3,1,1.4,0.7,0.4,0.8,0.4,1.2,1.7,1,0.7,10.9,70.2,0.1,0.3,0.1
475,Steven Zuber,29,Midfielder,Stuttgart,1631,1010,621,Switzerland,22,12,10,5,4,1,2,2,0,1,0,1,1,0,33,13,20,4,0,0.39,0.11,0.28,0.36,0.14,326,1.82,49,74,408,816,0.22,74,133,-1,2,0.5,0.5,1.1,0,0.5,0.9,0.2,0,5,1,2.5,0.7,0.4,1.2,0,1.9,1.7,1,0.7,28.6,76.3,0.4,1.2,0.2
476,Steven Zuber,29,Midfielder,Stuttgart,1631,1010,621,Switzerland,22,12,10,5,4,1,2,2,0,1,0,1,1,0,33,13,20,4,0,0.39,0.11,0.28,0.36,0.14,326,1.82,49,74,408,816,0.22,74,133,-1,2,1.3,0.6,0.9,0,0.4,0.8,0.1,0,0,1,1.8,1.1,0.4,0.8,0,1.4,1.2,1,1.1,29.8,79.1,0.1,0.6,0.2
477,Suat Serdar,23,Midfielder,Schalke 04,1736,841,895,Germany,26,14,12,2,1,1,1,0,1,0,0,7,4,3,20,9,11,6,2,0.16,0.05,0.1,0.11,0.1,868,1.04,87,67,248,1736,0.36,167,196,-1,9,2,0.9,1.5,0,0.2,1.3,0.2,0,2,1,1.2,0.6,1.4,1.1,0.1,1.4,1.7,1,0.6,16.8,71.6,0,0.7,0
478,Sven Bender,31,Defender,Bayer Leverkusen,1995,943,1052,Germany,27,13,14,0,0,0,0,0,0,0,0,7,4,3,33,15,18,3,0,0,0,0,0,0,0,1.49,60,74,665,0,0.14,271,238,75,14,1.5,1.9,0.8,0.4,3.5,0.4,0.5,1,0,0,0.5,0.1,0.2,0.4,0.1,0.1,0.5,0,0.1,61.8,90.8,0,3,0
479,Sven Ulreich,32,Goalkeeper,Bayern München,757,360,397,Germany,9,4,5,0,0,0,0,0,0,0,0,2,1,1,9,3,6,0,0,0,0,0,0,0,0,1.07,84,84,0,0,0,304,252,22,19,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,22.1,80.4,0,3.1,0
480,Takashi Usami,28,Midfielder,Fortuna Düsseldorf,877,440,437,Japan,19,10,9,1,1,0,2,2,0,0,0,3,1,2,16,7,9,1,0,0.31,0.21,0.1,0.2,0,877,1.64,55,46,877,439,0.1,164,62,-1,9,0.9,0.4,0.4,0,0.5,0.9,0.1,0,1,2,1.4,0.7,0.7,0.6,0.1,0.4,0.4,2,0.7,11.5,76.1,0.7,0.8,0
481,Takuma Asano,26,Forward,Hannover 96,700,307,393,Japan,13,7,6,0,0,0,0,0,0,0,0,1,1,0,19,7,12,0,0,0,0,0,0,0,0,2.44,37,54,0,0,0,288,365,-1,27,0.4,0.2,0.4,0,0.2,0.4,0,0,0,0,1,0.2,0.5,1.1,0.4,1.2,2.2,0,0.2,11.6,72.2,0,0.2,0
482,Taleb Tawatha,28,Defender,Eintracht Frankfurt,124,55,69,Israel,3,2,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,-1,-1,-1,23,0.3,0,0.3,0,0.3,0.3,0,0,0,0,0,0,0.7,0.7,0,0.3,1,0,0,12.3,70.3,0,1.3,0
483,Theodor Gebre Selassie,34,Defender,Werder Bremen,2815,1350,1465,Czech Republic,32,15,17,3,3,0,2,0,2,0,0,5,2,3,44,21,23,2,0,0.16,0.06,0.1,0.2,0,938,1.41,64,88,1408,1408,0.06,161,185,59,8,1.7,2.2,1,0.6,2.8,0.9,0.3,0,3,2,0.9,0.7,0.4,1,0.1,0.7,1,2,0.7,41.9,79.8,0.3,0.9,0
484,Thiago Alcantara,29,Midfielder,Bayern München,2407,1166,1241,Spain,30,15,15,2,1,1,6,5,1,0,0,12,7,5,21,10,11,5,0,0.3,0.22,0.07,0.08,0.07,1204,0.79,115,80,481,401,0.19,187,53,-1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
