,Player,age,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
622,Yannis Salibur,30,Forward,Saint-Étienne,896,505,391,France,22,12,10,1,0,1,3,3,0,0,0,7,6,1,14,4,10,3,1,0.4,0.3,0.1,0,0.23,896,1.41,64,41,299,299,0.3,162,14,-1,12,0.4,0.4,1,0,0.1,0.3,0,0,1,3,1.6,0.9,1.2,1.5,0.3,1.3,1,3,0.9,13.1,79.3,0.6,0.3,0
623,Yassin Fékir,23,Forward,Olympique Lyonnais,11,11,0,France,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,-1,-1,-1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624,Yassine Benrahou,22,Midfielder,Bordeaux,174,155,19,France,4,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.03,87,44,0,0,0,-1,-1,-1,30,2.3,0.5,0.5,0,0.3,0.8,0,0,0,0,1.5,0.5,0.5,1,0,1,1.5,0,0.5,23.8,84.2,0.3,0.3,0
625,Yassine Benzia,26,Forward,Lille,162,90,72,Algeria,2,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0.56,0.56,0,0,0,0,0.56,162,81,0,162,0,-1,-1,-1,18,0.5,0.5,1.5,0,0,0,0,0,0,1,3,2.5,0.5,1.5,0,0,0,1,2.5,49.5,81.8,1,4,0.5
626,Yaya Sanogo,28,Forward,Toulouse,1242,678,564,France,21,10,11,3,2,1,0,0,0,1,0,6,4,2,14,7,7,3,0,0.22,0,0.22,0.27,0.16,414,1.01,89,59,414,0,0.22,78,284,-1,5,0.2,0.1,2,0,0.7,0.1,0,0,3,0,2.2,0.5,0.2,1.3,0.2,1.1,1.9,0,0.5,12.2,63.7,0,0.1,0
627,Yeni Atito N'Gbakoto,29,Midfielder,Guingamp,558,319,239,Congo DR,15,9,6,1,1,0,0,0,0,0,0,1,1,0,14,3,11,0,0,0.16,0,0.16,0.28,0,558,2.26,40,37,0,0,0,112,339,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628,Yoan Cardinale,27,Goalkeeper,Nice,270,180,90,France,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,1.67,54,90,0,0,0,-1,-1,-1,19,0.3,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,98.4,0,1.3,0
629,Yoann Andreu,31,Defender,Angers SCO,3,0,3,France,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,30,3,3,0,0,0,-1,-1,-1,20,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
630,Yoann Gourcuff,34,Midfielder,Dijon,127,84,43,France,8,5,3,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.71,127,16,0,0,0,-1,-1,-1,18,0,0,0.3,0,0.1,0.3,0.1,0,0,0,0.9,0.4,0.1,0.4,0,0.4,0.4,0,0.4,9.6,84.4,0.3,0.1,0
631,Yoel Armougom,22,Defender,Caen,1848,955,893,France,29,15,14,0,0,0,1,1,0,0,0,8,4,4,26,12,14,6,1,0.05,0.05,0,0,0,0,1.27,71,64,308,1848,0.29,385,205,102,25,1.1,0.7,0.7,0.1,2,0.5,0.1,0,0,1,0.4,0.5,0.4,0.5,0,0.3,1,1,0.5,22.4,73.5,0.5,1.4,0
632,Yohan Bilingi,22,Defender,Guingamp,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633,Yohann Pelé,38,Goalkeeper,Olympique Marseille,680,450,230,France,9,5,4,0,0,0,0,0,0,0,0,3,3,0,12,4,8,0,0,0,0,0,0,0,0,1.59,57,76,0,0,0,300,428,158,18,0,0,0,0,0.3,0.2,0,0,0,0,0,0,0,0.1,0,0,0.2,0,0,22.3,78.1,0,4.8,0
634,Youcef Attal,24,Defender,Nice,2261,1303,958,Algeria,29,16,13,6,5,1,0,0,0,0,1,11,8,3,20,8,12,8,0,0.24,0,0.24,0.35,0.09,377,0.8,113,78,283,0,0.32,68,364,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,Younn Zahary,22,Defender,Caen,731,277,454,France,12,5,7,0,0,0,0,0,0,0,0,4,1,3,11,4,7,3,0,0,0,0,0,0,0,1.35,66,61,244,0,0.37,285,300,125,11,1.3,1.3,1,0.2,2.5,0.5,0.7,0,0,0,0,0.1,0.3,0.2,0,0.1,0.9,0,0.1,16.4,70.6,0,0.8,0
