,Player,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
279,Kevin Bonifazi ,1,0.0,0.3,0.1,0.8,0.1,0.1,0.3,0.6,6.57
280,Stanislav Lobotka,0.0,0.0,0.1,0.4,0.6,1.1,0.0,0.4,0.3,6.57
281,Javier Pastore,0.0,1,1.5,0.5,1.1,0.8,0.1,0.6,1.2,6.57
282,Manuel Lazzari,0.0,3,0.5,1.1,1,1.3,0.2,0.5,1.2,6.57
283,Bruno Alves ,0.0,0.0,0.7,0.2,0.0,0.4,0.0,0.1,0.2,6.57
284,Walace,0.0,0.0,0.6,0.5,0.7,0.8,0.1,0.9,1.7,6.56
285,Andrea Pinamonti,5,1,1.6,0.5,0.6,1.6,0.5,1.6,2.2,6.56
286,Gary Medel,0.0,0.0,0.2,0.4,0.6,1.2,0.0,0.4,0.6,6.56
287,Mirko Valdifiori ,0.0,3,0.2,1.7,0.4,0.6,0.0,0.3,0.5,6.56
288,Charalampos Lykogiannis,0.0,1,0.7,0.4,0.6,0.7,0.2,0.3,0.9,6.56
289,Andrea Masiello,0.0,1,0.5,0.2,0.4,0.3,0.0,0.3,0.3,6.56
290,Danilo,2,0.0,0.3,0.2,0.1,0.8,0.1,0.0,0.4,6.56
291,Marco Parolo,1,0.0,0.6,0.3,0.1,0.2,0.0,0.2,0.6,6.56
292,Jens Stryger Larsen,1,3,0.4,0.7,0.5,0.2,0.0,0.4,0.9,6.56
293,Rachid Ghezzal,1,0.0,0.6,0.9,0.7,0.8,0.1,0.9,1,6.56
294,Patric,0.0,0.0,0.3,0.2,0.2,0.5,0.0,0.0,0.3,6.56
295,Pierluigi Gollini,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6.56
296,Borja Valero,2,0.0,0.6,0.5,0.4,0.7,0.1,0.4,0.5,6.55
297,Mateo Musacchio,0.0,0.0,0.3,0.6,0.2,0.6,0.0,0.2,0.5,6.55
298,Kastriot Dermaku ,0.0,0.0,0.2,0.1,0.0,0.3,0.0,0.1,0.1,6.55
299,Jacopo Petriccione,0.0,5,0.6,1.3,0.6,0.9,0.0,0.5,0.6,6.55
300,Luca Pellegrini,0.0,5,0.6,0.9,1.3,0.9,0.0,0.9,1.5,6.55
301,Andrea Tabanelli,1,0.0,0.8,0.4,0.9,1.8,0.1,1.4,2.2,6.55
302,Blerim Dzemaili,1,1,1.1,1.4,0.7,1.2,0.0,1.2,1.4,6.55
303,Bartosz Bereszynski,0.0,0.0,0.6,0.3,0.5,0.8,0.0,0.5,0.6,6.54
304,Alan Empereur,0.0,0.0,0.2,0.1,0.2,0.7,0.0,0.2,0.4,6.54
305,Fabio Depaoli,0.0,1,0.9,1.0,0.7,1,0.1,0.5,1,6.54
306,Andrea Cistana,1,0.0,0.3,0.1,0.1,0.7,0.0,0.0,0.4,6.54
307,Ionut Radu,0.0,1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,6.54
308,Gian Marco Ferrari,0.0,1,0.5,0.3,0.1,0.6,0.0,0.2,0.3,6.54
309,Simone Iacoponi ,2,0.0,0.3,0.1,0.1,1,0.0,0.2,0.4,6.53
310,Alessandro Deiola,1,1,0.9,0.8,0.9,0.8,0.0,0.7,0.8,6.53
311,Lucas Paquetá,0.0,1,1.4,0.8,1.0,1.0,0.1,1.5,1.4,6.53
312,Jeremy Toljan,1,2,0.3,1.0,0.6,0.7,0.1,0.6,1.0,6.53
313,Valentino Lazaro,0.0,1,0.5,1.5,0.8,0.2,0.0,0.5,1.0,6.53
314,Blaise Matuidi,0.0,2,0.4,0.5,0.3,0.7,0.1,0.5,1.1,6.53
315,William Troost-Ekong,0.0,0.0,0.2,0.1,0.1,0.3,0.0,0.2,0.2,6.53
316,Bryan Cristante,1,3,1.1,0.8,0.4,0.2,0.0,0.5,0.6,6.53
317,Igor Julio ,0.0,1,0.2,0.4,0.9,0.6,0.0,0.7,0.9,6.53
